id,end_station,dest_y,dest_x,count
148,Central Park West & W 68 St,40.7734066,-73.97782542,46
149,Central Park West & W 72 St,40.77579377,-73.97620574,53
150,Central Park West & W 76 St,40.77896784,-73.97374737,20
151,Central Park West & W 85 St,40.78472675,-73.96961715,40
152,Centre St & Chambers St,40.71273266,-74.0046073,157
153,Centre St & Worth St,40.71494807,-74.00234482,42
154,Cherry St,40.71219906,-73.97948148,25
155,Christopher St & Greenwich St,40.73291553,-74.00711384,126
156,Clark St & Henry St,40.69760127,-73.99344559,32
157,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,11
158,Clermont Ave & Park Ave,40.69573398,-73.97129668,2
159,Cleveland Pl & Spring St,40.72210379,-73.99724901,206
160,Cliff St & Fulton St,40.70823502,-74.00530063,74
161,Clinton Ave & Flushing Ave,40.69794,-73.96986848,7
162,Clinton Ave & Myrtle Ave,40.693261,-73.968896,28
163,Clinton St & 4 Place,40.6783563,-74.00014502,4
164,Clinton St & Centre St,40.67434,-74.00194698,0
165,Clinton St & Grand St,40.71559509,-73.9870295,37
166,Clinton St & Joralemon St,40.69239502,-73.99337909,21
167,Clinton St & Tillary St,40.696192,-73.991218,29
168,Clinton St & Union St,40.6831164,-73.99785267,6
169,Coffey St & Conover St,40.677236,-74.015665,0
170,Columbia Heights & Cranberry St,40.70037867,-73.99548059,9
171,Columbia St & Degraw St,40.6859296,-74.00242364,5
172,Columbia St & Kane St,40.68763155,-74.0016256,3
173,Columbia St & Lorraine St,40.6747055,-74.0075572,0
174,Columbia St & Rivington St,40.71739973,-73.98016555,30
175,Columbia St & W 9 St,40.6769993,-74.00647134,0
176,Columbus Ave & W 103 St,40.7969347,-73.96434123,7
177,Columbus Ave & W 72 St,40.7770575,-73.97898475,82
178,Columbus Ave & W 95 St,40.7919557,-73.968087,25
179,Commerce St & Van Brunt St,40.6812117,-74.00860912,6
180,Concord St & Bridge St,40.69766564,-73.98476437,23
181,Congress St & Clinton St,40.6881529,-73.99520919,17
182,Cooper Square & E 7 St,40.7292365,-73.99086803,424
183,Court St & Nelson St,40.6763947,-73.99869893,7
184,Court St & State St,40.6902375,-73.99203074,29
185,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,22
186,DeKalb Ave & Hudson Ave,40.689888,-73.981013,51
187,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,36
188,DeKalb Ave & Skillman St,40.6906495,-73.95643107,31
189,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,36
190,Dean St & 4 Ave,40.68312489,-73.97895137,27
191,Dean St & Hoyt St,40.6864442,-73.98759104,10
192,Degraw St & Hoyt St,40.68199044,-73.99079025,0
193,Degraw St & Smith St,40.6829151,-73.99318208,30
194,Devoe St & Leonard St,40.71348658,-73.94792458,40
195,Division Ave & Hooper St,40.70691254,-73.95441667,27
196,Division Ave & Marcy Ave,40.70708701,-73.95796783,8
197,Division St & Bowery,40.71413089,-73.9970468,87
198,Douglass St & 3 Ave,40.6802133,-73.98432695,14
199,Douglass St & 4 Ave,40.6792788,-73.98154004,22
200,Driggs Ave & Lorimer St,40.72179134,-73.9504154,37
201,Driggs Ave & N Henry St,40.72325,-73.94308,20
202,Duane St & Greenwich St,40.71748752,-74.0104554,32
203,Duffield St & Willoughby St,40.69221589,-73.9842844,32
204,E 10 St & 5 Ave,40.73331967,-73.99510132,70
205,E 10 St & Avenue A,40.72740794,-73.98142006,179
206,E 102 St & 1 Ave,40.7869946,-73.94164802,13
207,E 102 St & Park Ave,40.7904828,-73.95033068,4
208,E 103 St & Lexington Ave,40.7903051,-73.94755757,48
209,E 106 St & 1 Ave,40.7892529,-73.93956237,3
210,E 106 St & Lexington Ave,40.791976,-73.945993,10
211,E 106 St & Madison Ave,40.7934337,-73.94945003,4
212,E 109 St & 3 Ave,40.79329668,-73.9432083,13
213,E 11 St & 1 Ave,40.72953837,-73.98426726,175
214,E 11 St & 2 Ave,40.73047309,-73.98672378,205
215,E 11 St & Broadway,40.73261787,-73.99158043,57
216,E 110 St & Madison Ave,40.7961535,-73.94782145,16
217,E 12 St & 3 Ave,40.73223272,-73.98889957,215
218,E 13 St & Avenue A,40.72955361,-73.98057249,211
219,E 14 St & Avenue B,40.72938685,-73.97772429,99
220,E 15 St & 3 Ave,40.734232,-73.986923,228
221,E 16 St & 5 Ave,40.73726186,-73.99238967,70
222,E 16 St & Irving Pl,40.73524276,-73.98758561,60
223,E 17 St & Broadway,40.73704984,-73.99009296,142
224,E 19 St & 3 Ave,40.73624527,-73.98473765,96
225,E 2 St & 2 Ave,40.72456343,-73.98944378,203
226,E 2 St & Avenue B,40.72217444,-73.98368779,162
227,E 2 St & Avenue C,40.7208736,-73.98085795,42
228,E 20 St & 2 Ave,40.73587678,-73.98205027,183
229,E 20 St & FDR Drive,40.73314259,-73.97573881,34
230,E 20 St & Park Ave,40.73827428,-73.98751968,100
231,E 23 St & 1 Ave,40.736502,-73.97809472,23
232,E 24 St & Park Ave S,40.74096374,-73.98602213,68
233,E 25 St & 1 Ave,40.7381765,-73.97738662,107
234,E 25 St & 2 Ave,40.73912601,-73.97973776,147
235,E 27 St & 1 Ave,40.739445,-73.976806,71
236,E 3 St & 1 Ave,40.72467721,-73.98783413,61
237,E 30 St & Park Ave S,40.74444921,-73.98303529,78
238,E 31 St & 3 Ave,40.74394314,-73.97966069,135
239,E 32 St & Park Ave,40.7457121,-73.98194829,73
240,E 33 St & 2 Ave,40.744023,-73.976056,124
241,E 33 St & 5 Ave,40.74765947,-73.98490707,105
242,E 35 St & 3 Ave,40.746524,-73.977885,34
243,E 37 St & Lexington Ave,40.44535,-73.978238,0
244,E 39 St & 2 Ave,40.74780373,-73.9734419,132
245,E 39 St & 3 Ave,40.7489006,-73.97604882,84
246,E 40 St & 5 Ave,40.75206231,-73.9816324,51
247,E 41 St & Madison Ave,40.75216528,-73.97992194,17
248,E 43 St & 2 Ave,40.75022392,-73.97121414,30
249,E 45 St & 3 Ave,40.75255434,-73.97282625,43
250,E 47 St & 1 Ave,40.75206862,-73.96784384,18
251,E 47 St & 2 Ave,40.75323098,-73.97032517,59
252,E 47 St & Park Ave,40.75510267,-73.97498696,39
253,E 48 St & 3 Ave,40.7546011,-73.97187886,42
254,E 48 St & 5 Ave,40.75724568,-73.97805914,14
255,E 5 St & Avenue C,40.72299208,-73.97995466,61
256,E 51 St & 1 Ave,40.75455731,-73.96592976,31
257,E 51 St & Lexington Ave,40.75714758,-73.97207836,18
258,E 52 St & 2 Ave,40.756014,-73.967416,76
259,E 53 St & Lexington Ave,40.75828065,-73.97069431,24
260,E 53 St & Madison Ave,40.7597108,-73.97402311,18
261,E 55 St & 2 Ave,40.75797322,-73.96603308,61
262,E 55 St & 3 Ave,40.75899656,-73.96865398,26
263,E 55 St & Lexington Ave,40.75968085,-73.97031366,17
264,E 56 St & Madison Ave,40.761628,-73.972924,18
265,E 58 St & 1 Ave,40.75892386,-73.96226227,35
266,E 58 St & 3 Ave,40.76095756,-73.96724467,47
267,E 59 St & Madison Ave,40.76350532,-73.97109243,16
268,E 6 St & Avenue B,40.72453734,-73.98185424,153
269,E 6 St & Avenue D,40.72228087,-73.97668709,71
270,E 60 St & York Ave,40.759107,-73.959223,9
271,E 61 St & Park Ave,40.76421007,-73.96910459,5
272,E 65 St & 2 Ave,40.76471852,-73.9622207,0
273,E 66 St & Madison Ave,40.76800889,-73.96845281,8
274,E 67 St & Park Ave,40.7678008,-73.96592081,16
275,E 68 St & 3 Ave,40.7671284,-73.96224618,26
276,E 68 St & Madison Ave,40.7691572,-73.96703464,12
277,E 7 St & Avenue A,40.72621788,-73.98379855,68
278,E 71 St & 2 Ave,40.76817547,-73.95910263,30
279,E 72 St & Park Ave,40.77118288,-73.96409422,4
280,E 72 St & York Ave,40.76663814,-73.95348296,38
281,E 74 St & 1 Ave,40.7689738,-73.95482273,8
282,E 75 St & 3 Ave,40.77112927,-73.95772297,42
283,E 76 St & Park Ave,40.773763,-73.96222088,5
284,E 77 St & Park Ave,40.77440546,-73.96175265,0
285,E 80 St & 2 Ave,40.7739139,-73.95439535,42
286,E 81 St & 3 Ave,40.77573034,-73.9567526,32
287,E 81 St & Park Ave,40.77677702,-73.9590097,10
288,E 81 St & York Ave,40.7728384,-73.94989233,21
289,E 84 St & 1 Ave,40.77565541,-73.95068615,52
290,E 84 St & Park Ave,40.77862688,-73.95772073,43
291,E 85 St & 3 Ave,40.77801203,-73.95407149,101
292,E 85 St & York Ave,40.77536905,-73.94803392,20
293,E 88 St & 1 Ave,40.778301,-73.9488134,25
294,E 88 St & Park Ave,40.7814107,-73.95595908,19
295,E 89 St & 3 Ave,40.7806284,-73.9521667,26
296,E 89 St & York Ave,40.7779453,-73.946041,7
297,E 9 St & Avenue C,40.72521311,-73.97768752,87
298,E 91 St & 2 Ave,40.7811223,-73.94965589,26
299,E 91 St & Park Ave,40.7835016,-73.955327,6
300,E 95 St & 3 Ave,40.7849032,-73.950503,47
301,E 97 St & 3 Ave,40.7859201,-73.94860294,10
302,E 97 St & Madison Ave,40.787801,-73.953559,25
303,East End Ave & E 86 St,40.77518615,-73.94446054,4
304,Elizabeth St & Hester St,40.71759082,-73.9962244,121
305,Emerson Pl & Myrtle Ave,40.69363137,-73.96223558,28
306,FDR Drive & E 35 St,40.744219,-73.97121214,40
307,Forsyth St & Broome St,40.71893904,-73.99266288,215
308,Forsyth St & Canal St,40.7158155,-73.99422366,93
309,Franklin Ave & Myrtle Ave,40.694528,-73.958089,12
310,Franklin St & Dupont St,40.73564,-73.95866,10
311,Franklin St & W Broadway,40.71911552,-74.00666661,60
312,Front St & Gold St,40.70224,-73.982578,13
313,Front St & Maiden Ln,40.70530954,-74.00612572,42
314,Front St & Washington St,40.70255088,-73.98940236,40
315,Frost St & Meeker St,40.71764,-73.94882,44
316,Fulton St & Broadway,40.711066,-74.009447,72
317,Fulton St & Clermont Ave,40.68415748,-73.96922273,25
318,Fulton St & Grand Ave,40.68223166,-73.9614583,31
319,Fulton St & Rockwell Pl,40.688226,-73.979382,21
320,Fulton St & Utica Ave,40.6794268,-73.9298911,20
321,Fulton St & Washington Ave,40.683048,-73.964915,58
322,Fulton St & William St,40.70955958,-74.00653609,52
323,Garfield Pl & 8 Ave,40.6711978,-73.97484126,1
324,Graham Ave & Conselyea St,40.715143,-73.944507,61
325,Graham Ave & Grand St,40.711863,-73.944024,31
326,Graham Ave & Herbert St,40.71929301,-73.94500379,14
327,Graham Ave & Withers St,40.7169811,-73.94485918,37
328,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,149
329,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,10
330,Grand St & Elizabeth St,40.718822,-73.99596,0
331,Grand St & Greene St,40.72165481,-74.00234737,58
332,Grand St & Havemeyer St,40.71286844,-73.95698119,118
333,Great Jones St,40.72743423,-73.99379025,202
334,Greene Ave & Nostrand Ave,40.6883337,-73.950916,26
335,Greene Ave & Throop Ave,40.6894932,-73.942061,3
336,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,70
337,Greenwich Ave & 8 Ave,40.73901691,-74.00263761,246
338,Greenwich Ave & Charles St,40.735238,-74.000271,183
339,Greenwich St & Hubert St,40.721319,-74.010065,0
