market,month,high,low
Northwest Brooklyn,9/1/10,1550000,267863
Northwest Brooklyn,10/1/10,2525000,207500
Northwest Brooklyn,11/1/10,1102500,197000
Northwest Brooklyn,12/1/10,3500000,255000
Northwest Brooklyn,1/1/11,2424000,253000
Northwest Brooklyn,2/1/11,2100000,262500
Northwest Brooklyn,3/1/11,2650000,180000
Northwest Brooklyn,4/1/11,2625000,190000
Northwest Brooklyn,5/1/11,2700000,195000
Northwest Brooklyn,6/1/11,3920000,160000
Northwest Brooklyn,7/1/11,3400000,201786
Northwest Brooklyn,8/1/11,3200000,162000
Northwest Brooklyn,9/1/11,2200000,156000
Northwest Brooklyn,10/1/11,1825000,170000
Northwest Brooklyn,11/1/11,5250000,185000
Northwest Brooklyn,12/1/11,3650867,195000
Northwest Brooklyn,1/1/12,11000000,128000
Northwest Brooklyn,2/1/12,3000000,186000
Northwest Brooklyn,3/1/12,3000000,155000
Northwest Brooklyn,4/1/12,2950000,198000
Northwest Brooklyn,5/1/12,5450000,185000
Northwest Brooklyn,6/1/12,2855000,187000
Northwest Brooklyn,7/1/12,2350000,155000
Northwest Brooklyn,8/1/12,7350000,150000
Northwest Brooklyn,9/1/12,2443800,145000
Northwest Brooklyn,10/1/12,2275000,210000
Northwest Brooklyn,11/1/12,6050000,152500
Northwest Brooklyn,12/1/12,5000000,209000
Northwest Brooklyn,1/1/13,4100000,215000
Northwest Brooklyn,2/1/13,2647450,200000
Northwest Brooklyn,3/1/13,2647450,184000
Northwest Brooklyn,4/1/13,7650000,176000
Northwest Brooklyn,5/1/13,2888738,205000
Northwest Brooklyn,6/1/13,2750000,182908
Northwest Brooklyn,7/1/13,3325000,200000
Northwest Brooklyn,8/1/13,3232943,191500
Northwest Brooklyn,9/1/13,3500000,175000
Northwest Brooklyn,10/1/13,3563875,205000
Northwest Brooklyn,11/1/13,3431025,210000
Northwest Brooklyn,12/1/13,3600000,211000
Northwest Brooklyn,1/1/14,5100000,250000
Northwest Brooklyn,2/1/14,3665700,294922
Northwest Brooklyn,3/1/14,5750000,225000
Northwest Brooklyn,4/1/14,7500000,270000
Northwest Brooklyn,5/1/14,4887600,220000
Northwest Brooklyn,6/1/14,6825000,290000
Northwest Brooklyn,7/1/14,7275000,298008
Northwest Brooklyn,8/1/14,3150000,305000
Northwest Brooklyn,9/1/14,3500000,280000
Northwest Brooklyn,10/1/14,7000000,275000
Northwest Brooklyn,11/1/14,8800000,230000
Northwest Brooklyn,12/1/14,2144000,228250
Northwest Brooklyn,1/1/15,3229200,222500
Northwest Brooklyn,2/1/15,3000000,232500
Northwest Brooklyn,3/1/15,4100000,285000
Northwest Brooklyn,4/1/15,5091250,255000
Northwest Brooklyn,5/1/15,15500000,280000
Northwest Brooklyn,6/1/15,2800000,340000
Northwest Brooklyn,7/1/15,6150000,255000
Northwest Brooklyn,8/1/15,2699000,399000
